"class_name","full_type","title","title_key","description_key","card_type","rarity","target_type","multiplayer_constraint","is_upgradable","description","plain_description","mentions_statuses","strict_callouts","mention_only_statuses","applies_vulnerable","applies_weak","gains_strength","gains_vigor","grants_double_damage","gains_focus","applies_poison","support_signal"
"AstralPulse","MegaCrit.Sts2.Core.Models.Cards.AstralPulse","Astral Pulse","ASTRAL_PULSE.title","ASTRAL_PULSE.description","Attack","Common","AllEnemies","None","True","Deal {Damage:diff()} damage to ALL enemies.","Deal Damage damage to ALL enemies.","","","","False","False","False","False","False","False","False","False"
"Automation","MegaCrit.Sts2.Core.Models.Cards.Automation","Automation","AUTOMATION.title","AUTOMATION.description","Power","Uncommon","Self","None","True","Every 10 cards you draw, gain {Energy:energyIcons()}.","Every 10 cards you draw, gain Energy.","","","","False","False","False","False","False","False","False","False"
"Backflip","MegaCrit.Sts2.Core.Models.Cards.Backflip","Backflip","BACKFLIP.title","BACKFLIP.description","Skill","Common","Self","None","True","Gain {Block:diff()} [gold]Block[/gold].
Draw 2 cards.","Gain Block Block. Draw 2 cards.","","","","False","False","False","False","False","False","False","False"
"Backstab","MegaCrit.Sts2.Core.Models.Cards.Backstab","Backstab","BACKSTAB.title","BACKSTAB.description","Attack","Uncommon","AnyEnemy","None","True","Deal {Damage:diff()} damage.","Deal Damage damage.","","","","False","False","False","False","False","False","False","False"
"BadLuck","MegaCrit.Sts2.Core.Models.Cards.BadLuck","Bad Luck","BAD_LUCK.title","BAD_LUCK.description","Curse","Curse","None","None","False","At the end of your turn, if this is in your Hand, lose {HpLoss:diff()} HP.","At the end of your turn, if this is in your Hand, lose HpLoss HP.","","","","False","False","False","False","False","False","False","False"
"BallLightning","MegaCrit.Sts2.Core.Models.Cards.BallLightning","Ball Lightning","BALL_LIGHTNING.title","BALL_LIGHTNING.description","Attack","Common","AnyEnemy","None","True","Deal {Damage:diff()} damage.
[gold]Channel[/gold] 1 [gold]Lightning[/gold].","Deal Damage damage. Channel 1 Lightning.","","","","False","False","False","False","False","False","False","False"
"BansheesCry","MegaCrit.Sts2.Core.Models.Cards.BansheesCry","Banshee's Cry","BANSHEES_CRY.title","BANSHEES_CRY.description","Attack","Rare","AllEnemies","None","True","Deal {Damage:diff()} damage to ALL enemies.
Costs {Energy:energyIcons()} less for each [gold]Ethereal[/gold] card played this combat.","Deal Damage damage to ALL enemies. Costs Energy less for each Ethereal card played this combat.","","","","False","False","False","False","False","False","False","False"
"Barrage","MegaCrit.Sts2.Core.Models.Cards.Barrage","Barrage","BARRAGE.title","BARRAGE.description","Attack","Common","AnyEnemy","None","True","Deal {Damage:diff()} damage for each [gold]Channeled[/gold] Orb.{InCombat:
(Hits {CalculatedHits:diff()} {CalculatedHits:plural:time|times})|}","Deal Damage damage for each Channeled Orb.InCombat CalculatedHits)|}","","","","False","False","False","False","False","False","False","False"
"Barricade","MegaCrit.Sts2.Core.Models.Cards.Barricade","Barricade","BARRICADE.title","BARRICADE.description","Power","Rare","Self","None","True","[gold]Block[/gold] is not removed at the start of your turn.","Block is not removed at the start of your turn.","","","","False","False","False","False","False","False","False","False"
"Bash","MegaCrit.Sts2.Core.Models.Cards.Bash","Bash","BASH.title","BASH.description","Attack","Basic","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal Damage damage. Apply VulnerablePower Vulnerable.","Vulnerable","Vulnerable","","True","False","False","False","False","False","False","False"
"BattleTrance","MegaCrit.Sts2.Core.Models.Cards.BattleTrance","Battle Trance","BATTLE_TRANCE.title","BATTLE_TRANCE.description","Skill","Uncommon","Self","None","True","Draw {Cards:diff()} cards.
You cannot draw additional cards this turn.","Draw Cards cards. You cannot draw additional cards this turn.","","","","False","False","False","False","False","False","False","False"
"BeaconOfHope","MegaCrit.Sts2.Core.Models.Cards.BeaconOfHope","Beacon of Hope","BEACON_OF_HOPE.title","BEACON_OF_HOPE.description","Power","Rare","Self","MultiplayerOnly","True","Whenever you gain [gold]Block[/gold] on your turn, other players gain half that much [gold]Block[/gold].","Whenever you gain Block on your turn, other players gain half that much Block.","","Support","","False","False","False","False","False","False","False","True"
"BeamCell","MegaCrit.Sts2.Core.Models.Cards.BeamCell","Beam Cell","BEAM_CELL.title","BEAM_CELL.description","Attack","Common","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal Damage damage. Apply VulnerablePower Vulnerable.","Vulnerable","Vulnerable","","True","False","False","False","False","False","False","False"
"BeatDown","MegaCrit.Sts2.Core.Models.Cards.BeatDown","Beat Down","BEAT_DOWN.title","BEAT_DOWN.description","Skill","Rare","RandomEnemy","None","True","Play {Cards:diff()} random Attacks from your [gold]Discard Pile[/gold].","Play Cards random Attacks from your Discard Pile.","","","","False","False","False","False","False","False","False","False"
"BeatIntoShape","MegaCrit.Sts2.Core.Models.Cards.BeatIntoShape","Beat into Shape","BEAT_INTO_SHAPE.title","BEAT_INTO_SHAPE.description","Attack","Rare","AnyEnemy","None","True","Deal {Damage:diff()} damage.
[gold]Forge[/gold] {CalculatedForge:diff()}.
[gold]Forges[/gold] an additional {CalculationExtra:diff()} for every other time you've hit the enemy this turn.","Deal Damage damage. Forge CalculatedForge. Forges an additional CalculationExtra for every other time you've hit the enemy this turn.","","","","False","False","False","False","False","False","False","False"
"Beckon","MegaCrit.Sts2.Core.Models.Cards.Beckon","Beckon","BECKON.title","BECKON.description","Status","Status","None","None","False","At the end of your turn, if this is in your [gold]Hand[/gold],
 lose {HpLoss} HP.","At the end of your turn, if this is in your Hand, lose HpLoss HP.","","","","False","False","False","False","False","False","False","False"
"Begone","MegaCrit.Sts2.Core.Models.Cards.Begone","BEGONE!","BEGONE.title","BEGONE.description","Skill","Common","Self","None","True","Choose a card in your [gold]Hand[/gold] to [gold]Transform[/gold] into [gold]{IfUpgraded:show:Minion Strike+|Minion Strike}[/gold].","Choose a card in your Hand to Transform into IfUpgraded.","","","","False","False","False","False","False","False","False","False"
"BelieveInYou","MegaCrit.Sts2.Core.Models.Cards.BelieveInYou","Believe in You","BELIEVE_IN_YOU.title","BELIEVE_IN_YOU.description","Skill","Uncommon","AnyAlly","MultiplayerOnly","True","Another player gains {Energy:energyIcons()}.","Another player gains Energy.","","Support","","False","False","False","False","False","False","False","True"
"BiasedCognition","MegaCrit.Sts2.Core.Models.Cards.BiasedCognition","Biased Cognition","BIASED_COGNITION.title","BIASED_COGNITION.description","Power","Ancient","Self","None","True","Gain {FocusPower:diff()} [gold]Focus[/gold].
At the start of your turn, lose {BiasedCognitionPower:diff()} [gold]Focus[/gold].","Gain FocusPower Focus. At the start of your turn, lose BiasedCognitionPower Focus.","Focus","Focus","","False","False","False","False","False","True","False","False"
"BigBang","MegaCrit.Sts2.Core.Models.Cards.BigBang","Big Bang","BIG_BANG.title","BIG_BANG.description","Skill","Rare","Self","None","True","Draw {Cards:diff()} {Cards:plural:card|cards}.
Gain {Energy:energyIcons()}.
Gain {Stars:starIcons()}.
[gold]Forge[/gold] {Forge:diff()}.","Draw Cards Cards. Gain Energy. Gain Stars. Forge Forge.","","","","False","False","False","False","False","False","False","False"
"BlackHole","MegaCrit.Sts2.Core.Models.Cards.BlackHole","Black Hole","BLACK_HOLE.title","BLACK_HOLE.description","Power","Uncommon","Self","None","True","Whenever you spend or gain {singleStarIcon}, deal {BlackHolePower:diff()} damage to ALL enemies.","Whenever you spend or gain singleStarIcon, deal BlackHolePower damage to ALL enemies.","","","","False","False","False","False","False","False","False","False"
"BladeDance","MegaCrit.Sts2.Core.Models.Cards.BladeDance","Blade Dance","BLADE_DANCE.title","BLADE_DANCE.description","Skill","Common","Self","None","True","Add {Cards:diff()} [gold]{Cards:plural:Shiv|Shivs}[/gold] into your [gold]Hand[/gold].","Add Cards Cards into your Hand.","","","","False","False","False","False","False","False","False","False"
"BladeOfInk","MegaCrit.Sts2.Core.Models.Cards.BladeOfInk","Blade of Ink","BLADE_OF_INK.title","BLADE_OF_INK.description","Skill","Rare","Self","None","True","Add {Cards:diff()} [purple]Inky[/purple] [gold]{Cards:plural:Shiv|Shivs}[/gold] into your [gold]Hand[/gold].","Add Cards Inky Cards into your Hand.","","","","False","False","False","False","False","False","False","False"
"BlightStrike","MegaCrit.Sts2.Core.Models.Cards.BlightStrike","Blight Strike","BLIGHT_STRIKE.title","BLIGHT_STRIKE.description","Attack","Common","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Apply [gold]Doom[/gold] equal to damage dealt.","Deal Damage damage. Apply Doom equal to damage dealt.","","","","False","False","False","False","False","False","False","False"
"Bloodletting","MegaCrit.Sts2.Core.Models.Cards.Bloodletting","Bloodletting","BLOODLETTING.title","BLOODLETTING.description","Skill","Common","Self","None","True","Lose {HpLoss:diff()} HP.
Gain {Energy:energyIcons()}.","Lose HpLoss HP. Gain Energy.","","","","False","False","False","False","False","False","False","False"
"BloodWall","MegaCrit.Sts2.Core.Models.Cards.BloodWall","Blood Wall","BLOOD_WALL.title","BLOOD_WALL.description","Skill","Common","Self","None","True","Lose {HpLoss:diff()} HP.
Gain {Block:diff()} [gold]Block[/gold].","Lose HpLoss HP. Gain Block Block.","","","","False","False","False","False","False","False","False","False"
"Bludgeon","MegaCrit.Sts2.Core.Models.Cards.Bludgeon","Bludgeon","BLUDGEON.title","BLUDGEON.description","Attack","Uncommon","AnyEnemy","None","True","Deal {Damage:diff()} damage.","Deal Damage damage.","","","","False","False","False","False","False","False","False","False"
"Blur","MegaCrit.Sts2.Core.Models.Cards.Blur","Blur","BLUR.title","BLUR.description","Skill","Uncommon","Self","None","True","Gain {Block:diff()} [gold]Block[/gold].
[gold]Block[/gold] is not removed at the start of your next turn.","Gain Block Block. Block is not removed at the start of your next turn.","","","","False","False","False","False","False","False","False","False"
"Bodyguard","MegaCrit.Sts2.Core.Models.Cards.Bodyguard","Bodyguard","BODYGUARD.title","BODYGUARD.description","Skill","Basic","Self","None","True","[gold]Summon[/gold] {Summon:diff()}.","Summon Summon.","","","","False","False","False","False","False","False","False","False"
"BodySlam","MegaCrit.Sts2.Core.Models.Cards.BodySlam","Body Slam","BODY_SLAM.title","BODY_SLAM.description","Attack","Common","AnyEnemy","None","True","Deal damage equal to your [gold]Block[/gold].{InCombat:
(Deals {CalculatedDamage:diff()} damage)|}","Deal damage equal to your Block.InCombat damage)|}","","","","False","False","False","False","False","False","False","False"
"Bolas","MegaCrit.Sts2.Core.Models.Cards.Bolas","Bolas","BOLAS.title","BOLAS.description","Attack","Rare","AnyEnemy","None","True","Deal {Damage:diff()} damage.
At the start of your next turn, return this to your [gold]Hand[/gold].","Deal Damage damage. At the start of your next turn, return this to your Hand.","","","","False","False","False","False","False","False","False","False"
"Bombardment","MegaCrit.Sts2.Core.Models.Cards.Bombardment","Bombardment","BOMBARDMENT.title","BOMBARDMENT.description","Attack","Rare","AnyEnemy","None","True","Deal {Damage:diff()} damage.
At the start of your turn, if this is in your [gold]Exhaust Pile[/gold], play it.","Deal Damage damage. At the start of your turn, if this is in your Exhaust Pile, play it.","","","","False","False","False","False","False","False","False","False"
"BoneShards","MegaCrit.Sts2.Core.Models.Cards.BoneShards","Bone Shards","BONE_SHARDS.title","BONE_SHARDS.description","Attack","Uncommon","AllEnemies","None","True","If [gold]Osty[/gold] is alive, he deals {OstyDamage:diff()} damage to ALL enemies and you gain {Block:diff()} [gold]Block[/gold].
[gold]Osty[/gold] dies.","If Osty is alive, he deals OstyDamage damage to ALL enemies and you gain Block Block. Osty dies.","","","","False","False","False","False","False","False","False","False"
"BoostAway","MegaCrit.Sts2.Core.Models.Cards.BoostAway","Boost Away","BOOST_AWAY.title","BOOST_AWAY.description","Skill","Common","Self","None","True","Gain {Block:diff()} [gold]Block[/gold].
Add a [gold]Dazed[/gold] into your [gold]Discard Pile[/gold].","Gain Block Block. Add a Dazed into your Discard Pile.","","","","False","False","False","False","False","False","False","False"
"BootSequence","MegaCrit.Sts2.Core.Models.Cards.BootSequence","Boot Sequence","BOOT_SEQUENCE.title","BOOT_SEQUENCE.description","Skill","Uncommon","Self","None","True","Gain {Block:diff()} [gold]Block[/gold].","Gain Block Block.","","","","False","False","False","False","False","False","False","False"
"BorrowedTime","MegaCrit.Sts2.Core.Models.Cards.BorrowedTime","Borrowed Time","BORROWED_TIME.title","BORROWED_TIME.description","Skill","Uncommon","Self","None","True","Gain {Energy:energyIcons()}.
Cards cost an additional {ExtraCost:energyIcons()} this turn.","Gain Energy. Cards cost an additional ExtraCost this turn.","","","","False","False","False","False","False","False","False","False"
"BouncingFlask","MegaCrit.Sts2.Core.Models.Cards.BouncingFlask","Bouncing Flask","BOUNCING_FLASK.title","BOUNCING_FLASK.description","Skill","Uncommon","RandomEnemy","None","True","Apply {PoisonPower:diff()} [gold]Poison[/gold] to a random enemy {Repeat:diff()} times.","Apply PoisonPower Poison to a random enemy Repeat times.","Poison","Poison","","False","False","False","False","False","False","True","False"
"Brand","MegaCrit.Sts2.Core.Models.Cards.Brand","Brand","BRAND.title","BRAND.description","Skill","Rare","Self","None","True","Lose {HpLoss:diff()} HP.
[gold]Exhaust[/gold] 1 card.
Gain {StrengthPower:diff()} [gold]Strength[/gold].","Lose HpLoss HP. Exhaust 1 card. Gain StrengthPower Strength.","Strength","Strength","","False","False","True","False","False","False","False","False"
"Break","MegaCrit.Sts2.Core.Models.Cards.Break","Break","BREAK.title","BREAK.description","Attack","Ancient","AnyEnemy","None","True","Deal {Damage:diff()} damage.
Apply {VulnerablePower:diff()} [gold]Vulnerable[/gold].","Deal Damage damage. Apply VulnerablePower Vulnerable.","Vulnerable","Vulnerable","","True","False","False","False","False","False","False","False"
"Breakthrough","MegaCrit.Sts2.Core.Models.Cards.Breakthrough","Breakthrough","BREAKTHROUGH.title","BREAKTHROUGH.description","Attack","Common","AllEnemies","None","True","Lose {HpLoss:diff()} HP.
Deal {Damage:diff()} damage to ALL enemies.","Lose HpLoss HP. Deal Damage damage to ALL enemies.","","","","False","False","False","False","False","False","False","False"
"BrightestFlame","MegaCrit.Sts2.Core.Models.Cards.BrightestFlame","Brightest Flame","BRIGHTEST_FLAME.title","BRIGHTEST_FLAME.description","Skill","Ancient","Self","None","True","Gain {Energy:energyIcons()}.
Draw {Cards:diff()} {Cards:plural:card|cards}.
Lose {MaxHp:diff()} Max HP.","Gain Energy. Draw Cards Cards. Lose MaxHp Max HP.","","","","False","False","False","False","False","False","False","False"
"BubbleBubble","MegaCrit.Sts2.Core.Models.Cards.BubbleBubble","Bubble Bubble","BUBBLE_BUBBLE.title","BUBBLE_BUBBLE.description","Skill","Uncommon","AnyEnemy","None","True","If the enemy has [gold]Poison[/gold], apply {PoisonPower:diff()} [gold]Poison[/gold].","If the enemy has Poison, apply PoisonPower Poison.","Poison","Poison","","False","False","False","False","False","False","True","False"
"Buffer","MegaCrit.Sts2.Core.Models.Cards.Buffer","Buffer","BUFFER.title","BUFFER.description","Power","Rare","Self","None","True","Prevent the next {BufferPower:plural:time|{BufferPower:diff()} times} you would lose HP.","Prevent the next BufferPower times} you would lose HP.","","","","False","False","False","False","False","False","False","False"
"BulkUp","MegaCrit.Sts2.Core.Models.Cards.BulkUp","Bulk Up","BULK_UP.title","BULK_UP.description","Power","Uncommon","Self","None","True","Lose {OrbSlots:diff()} Orb {OrbSlots:plural:Slot|Slots}.
Gain {StrengthPower:diff()} [gold]Strength[/gold].
Gain {DexterityPower:diff()} [gold]Dexterity[/gold].","Lose OrbSlots Orb OrbSlots. Gain StrengthPower Strength. Gain DexterityPower Dexterity.","Strength","Strength","","False","False","True","False","False","False","False","False"
"BulletTime","MegaCrit.Sts2.Core.Models.Cards.BulletTime","Bullet Time","BULLET_TIME.title","BULLET_TIME.description","Skill","Rare","Self","None","True","You cannot draw additional cards this turn. ALL cards in your [gold]Hand[/gold] are free to play this turn.","You cannot draw additional cards this turn. ALL cards in your Hand are free to play this turn.","","","","False","False","False","False","False","False","False","False"
"Bully","MegaCrit.Sts2.Core.Models.Cards.Bully","Bully","BULLY.title","BULLY.description","Attack","Uncommon","AnyEnemy","None","True","Deal {CalculatedDamage:diff()} damage.
Deals {ExtraDamage:diff()} additional damage for each [gold]Vulnerable[/gold] on the enemy.","Deal CalculatedDamage damage. Deals ExtraDamage additional damage for each Vulnerable on the enemy.","Vulnerable","","Vulnerable","False","False","False","False","False","False","False","False"
"Bulwark","MegaCrit.Sts2.Core.Models.Cards.Bulwark","Bulwark","BULWARK.title","BULWARK.description","Skill","Uncommon","Self","None","True","Gain {Block:diff()} [gold]Block[/gold].
[gold]Forge[/gold] {Forge:diff()}.","Gain Block Block. Forge Forge.","","","","False","False","False","False","False","False","False","False"
"BundleOfJoy","MegaCrit.Sts2.Core.Models.Cards.BundleOfJoy","Bundle of Joy","BUNDLE_OF_JOY.title","BUNDLE_OF_JOY.description","Skill","Rare","Self","None","True","Add {Cards:diff()} random Colorless {Cards:plural:card|cards} into your [gold]Hand[/gold].","Add Cards random Colorless Cards into your Hand.","","","","False","False","False","False","False","False","False","False"
"Burn","MegaCrit.Sts2.Core.Models.Cards.Burn","Burn","BURN.title","BURN.description","Status","Status","None","None","False","At the end of your turn, if this is in your [gold]Hand[/gold], take {Damage:diff()} damage.","At the end of your turn, if this is in your Hand, take Damage damage.","","","","False","False","False","False","False","False","False","False"
"BurningPact","MegaCrit.Sts2.Core.Models.Cards.BurningPact","Burning Pact","BURNING_PACT.title","BURNING_PACT.description","Skill","Uncommon","Self","None","True","[gold]Exhaust[/gold] 1 card.
Draw {Cards:diff()} cards.","Exhaust 1 card. Draw Cards cards.","","","","False","False","False","False","False","False","False","False"
"Burst","MegaCrit.Sts2.Core.Models.Cards.Burst","Burst","BURST.title","BURST.description","Skill","Rare","Self","None","True","This turn, your next {Skills:plural:Skill is|{:diff()} Skills are} played an extra time.","This turn, your next Skills Skills are} played an extra time.","","","","False","False","False","False","False","False","False","False"
"Bury","MegaCrit.Sts2.Core.Models.Cards.Bury","Bury","BURY.title","BURY.description","Attack","Uncommon","AnyEnemy","None","True","Deal {Damage:diff()} damage.","Deal Damage damage.","","","","False","False","False","False","False","False","False","False"
"ByrdonisEgg","MegaCrit.Sts2.Core.Models.Cards.ByrdonisEgg","Byrdonis Egg","BYRDONIS_EGG.title","BYRDONIS_EGG.description","Quest","Quest","None","None","False","Can be hatched at a [gold]Rest Site[/gold].","Can be hatched at a Rest Site.","","","","False","False","False","False","False","False","False","False"
"ByrdSwoop","MegaCrit.Sts2.Core.Models.Cards.ByrdSwoop","Byrd Swoop","BYRD_SWOOP.title","BYRD_SWOOP.description","Attack","Event","AnyEnemy","None","True","Deal {Damage:diff()} damage.","Deal Damage damage.","","","","False","False","False","False","False","False","False","False"
"Calamity","MegaCrit.Sts2.Core.Models.Cards.Calamity","Calamity","CALAMITY.title","CALAMITY.description","Power","Rare","Self","None","True","Whenever you play an Attack, add a random Attack into your [gold]Hand[/gold].","Whenever you play an Attack, add a random Attack into your Hand.","","","","False","False","False","False","False","False","False","False"
"Calcify","MegaCrit.Sts2.Core.Models.Cards.Calcify","Calcify","CALCIFY.title","CALCIFY.description","Power","Uncommon","Self","None","True","[gold]Osty's[/gold] attacks deal {CalcifyPower:diff()} additional damage.","Osty's attacks deal CalcifyPower additional damage.","","","","False","False","False","False","False","False","False","False"
"CalculatedGamble","MegaCrit.Sts2.Core.Models.Cards.CalculatedGamble","Calculated Gamble","CALCULATED_GAMBLE.title","CALCULATED_GAMBLE.description","Skill","Uncommon","Self","None","True","Discard your [gold]Hand[/gold],
then draw that many cards.","Discard your Hand, then draw that many cards.","","","","False","False","False","False","False","False","False","False"
"CallOfTheVoid","MegaCrit.Sts2.Core.Models.Cards.CallOfTheVoid","Call of the Void","CALL_OF_THE_VOID.title","CALL_OF_THE_VOID.description","Power","Rare","Self","None","True","At the start of your turn, add {Cards:diff()} random {Cards:plural:card|cards} into your [gold]Hand[/gold]. {Cards:plural:It gains|They gain} [gold]Ethereal[/gold].","At the start of your turn, add Cards random Cards into your Hand. Cards Ethereal.","","","","False","False","False","False","False","False","False","False"
"Caltrops","MegaCrit.Sts2.Core.Models.Cards.Caltrops","Caltrops","CALTROPS.title","CALTROPS.description","Power","Event","Self","None","True","Whenever you are attacked, deal {ThornsPower:diff()} damage back.","Whenever you are attacked, deal ThornsPower damage back.","","","","False","False","False","False","False","False","False","False"
